"","site_name","latitude","longitude","region","country","county","com_type","commod1","commod2","commod3","oper_type","dep_type","prod_size","dev_stat","ore","gangue","work_type","names","ore_ctrl","hrock_type","arock_type"
"20","Upper Triassic Copper Prospects No. Cj-053",41.52599,-72.53452,NA,"United States","Middlesex","M","Copper","","","Unknown","Triassic Dike Intrusive","N","Occurrence","","Ilmenite, Magnetite, Augite, Pigeonite, Labradorite","","","","Diorite","Diorite"
"21","Middletown Lead-Silver Mine",41.55899,-72.61152,NA,"United States","Middlesex","M","Silver","","","Unknown","Vein Quartz In Fracture Z","S","Past Producer","Sphalerite, Chalcopyrite, Pyrite, Galena, Fluorite, Barite, Anglesite, Hydrozincite, Marcasite","","","","","",""
"22","Middletown Lead-Silver Mine",41.55899,-72.61152,NA,"United States","Middlesex","M","Lead","","","Unknown","Vein Quartz In Fracture Z","S","Past Producer","Sphalerite, Chalcopyrite, Pyrite, Galena, Fluorite, Barite, Anglesite, Hydrozincite, Marcasite","","","","","",""
"23","Mt. Tom Beryl Prospect",41.49399,-72.47551,NA,"United States","Middlesex","M","Beryllium","","","Unknown","Pegmatite Dike","N","Occurrence","Muscovite, Quartz, Plagioclase, Beryl","Garnet, Tourmaline","","","","Gneiss","Gneiss,Pegmatite"
"24","Wilton Silver and Galena Chalcopyrite Mine",41.23799,-73.42955,NA,"United States","Fairfield","M","Silver","","","Unknown","Metamorphosed Sedimentary","S","Past Producer","Sphalerite, Chalcopyrite, Pyrite, Galena","Staurolite, Garnet, Feldspar, Biotite, Muscovite, Quartz","","","","","Granite"
"25","Silver Prospect No. Dk-019",41.30055,-72.84897,NA,"United States","New Haven","M","Silver","","","Unknown","","N","Occurrence","","","Unknown","","Porosity Zone Adjacent To Mafic Intrusive","","Basalt"
"26","Mount Prospect",41.83299,-73.31654,NA,"United States","Litchfield","M","Nickel","","","Unknown","Sulfides Of Hydrothermal","S","Past Producer","Pyrite, Chalcopyrite, Pentlandite, Pyrrhotite","","","","","Schist,Gneiss",""
"27","Copper Mine No. Dj-038",41.51999,-72.82353,NA,"United States","New Haven","M","Copper","","","Unknown","Unknown","S","Past Producer","","","","","","Arkose","Mafic Intrusive Rock"
"28","Old Sandy Hook Gold Mine Prospect and Sulfide Occurrence",41.43199,-73.28154,NA,"United States","Fairfield","M","Lead","","","Unknown","Probably Vein Quartz","U","Occurrence","Calcite, Sphalerite, Hematite, Quartz, Pyrite, Galena","","","","","","Mafic Intrusive Rock"
"29","Booth's Lower Level Bismuth and Sulfide Mine",41.33499,-73.18854,NA,"United States","Fairfield","M","Bismuth","","","Unknown","Massive Quartz In Silicif","Y","Past Producer","Quartz, Bismuth, Arsenopyrite, Sphalerite, Pyrite, Chalcopyrite, Pyrrhotite","Calcite, Magnetite, Biotite, Muscovite, Microcline, Plagioclase, Quartz","","","","","Diabase,Dacite"
"30","Booth's Upper Level Bismuth and Sulfide Prospect",41.34199,-73.19054,NA,"United States","Fairfield","M","Bismuth","","","Unknown","Massive Quartz In Silicif","N","Occurrence","Quartz, Pyrrhotite","Calcite, Magnetite, Biotite, Muscovite, Microcline, Plagioclase, Quartz","","","","","Diabase,Dacite"
"31","Stevenson Bowers Hill Copper Mine",41.39299,-73.16854,NA,"United States","New Haven","M","Copper","","","Unknown","Metamorphosed Volcanic An","S","Past Producer","","Calcite, Magnetite, Biotite, Muscovite, Microcline, Plagioclase, Quartz","","","","",""
"32","Copper Occurrences No. Ek-003",41.41199,-73.07053,NA,"United States","New Haven","M","Copper","Iron","","Unknown","Disseminations In Metamor","N","Occurrence","Pyrite, Chalcopyrite","Garnet, Hornblende, Biotite, Microcline, Plagioclase, Quartz","","","","",""
"33","Copper Prospect No. Ek-002",41.42899,-73.07353,NA,"United States","New Haven","M","Copper","Iron","","Unknown","Disseminations In Metamor","N","Occurrence","Pyrite, Chalcopyrite","Sphene, Garnet, Hornblende, Biotite, Microcline, Plagioclase, Quartz","","","","",""
"34","Lantern Hill Quarry",41.45581,-71.94478,NA,"United States","New London","M","Silica","","","Unknown","","Y","Producer","","","","","","",""
"35","Chatham Great Hill Mine",41.57721,-72.55035,NA,"United States","Middlesex","M","Cobalt","","","Unknown","Vein","S","Past Producer","","","","","","",""
"36","Chatham Great Hill Mine",41.57721,-72.55035,NA,"United States","Middlesex","M","Nickel","","","Unknown","Vein","S","Past Producer","","","","","","",""
"37","Roxbury Iron Mine",41.57082,-73.3376,NA,"United States","Litchfield","M","Iron","Silver","","Unknown","Vein","S","Past Producer","","","","","","",""
"38","Kent Limonite Mine",41.68749,-73.4476,NA,"United States","Litchfield","M","Iron","","Zinc, Titanium, Metal","Unknown","","Y","Past Producer","Limonite, Melanterite, Pyrolusite, Siderite, Sphalerite","Actinolite, Garnet, Graphite, Staurolite, Tourmaline","","","Probably Mass Weathering Of Mineralized Fault Zone Breccia","",""
"39","Kent Limonite Mine",41.68749,-73.4476,NA,"United States","Litchfield","M","Manganese","","Zinc, Titanium, Metal","Unknown","","Y","Past Producer","Limonite, Melanterite, Pyrolusite, Siderite, Sphalerite","Actinolite, Garnet, Graphite, Staurolite, Tourmaline","","","Probably Mass Weathering Of Mineralized Fault Zone Breccia","",""
"40","Ore Hill Limonite Mine",41.95638,-73.47148,NA,"United States","Litchfield","M","Iron","","","Unknown","","Y","Past Producer","Limonite, Schist","","","","Probably Mass Weathering Of Siderite Rich Limestone Beds","Schist,Dolomite",""
"41","Ore Hill Limonite Mine",41.95638,-73.47148,NA,"United States","Litchfield","M","Manganese","","","Unknown","","Y","Past Producer","Limonite, Schist","","","","Probably Mass Weathering Of Siderite Rich Limestone Beds","Schist,Dolomite",""
