"","latitude","longitude"
"308",59.38975,-135.70211
"309",59.31975,-135.67211
"310",59.29975,-135.68211
"311",59.47975,-135.47211
"312",59.41975,-135.43211
"313",59.59976,-135.16211
"314",59.00972,-137.01213
"315",59.02972,-136.80213
"316",59.06973,-136.53212
"317",59.10973,-136.28211
"318",58.9225,-137.0013
"319",58.93583,-136.65018
"320",55.3073,-160.49936
"321",58.62584,-136.17902
"322",55.19312,-160.5563
"323",55.22534,-160.5763
"324",58.59167,-136.14319
"325",58.45972,-136.54208
"326",58.44472,-136.10318
"327",57.95054,-136.29899
"328",53.85744,-166.54239
"329",53.79078,-166.20239
"330",57.94888,-136.28788
"331",57.81665,-136.2401
"332",57.55499,-135.92784
"333",57.07971,-135.23086
"334",57.00277,-135.17557
"335",57.66141,-134.24641
"336",57.66391,-134.2278
"337",57.80725,-133.48612
"338",57.70919,-133.63223
"339",57.60808,-133.38333
"340",57.59725,-133.35443
"341",57.59197,-133.3386
"342",57.59669,-133.31637
"343",57.60031,-133.30832
"344",57.58142,-133.2686
"345",57.59447,-133.27804
"346",57.57558,-133.26915
"347",57.61503,-133.26971
"348",57.32893,-132.75551
"349",56.92862,-134.13636
"350",61.83124,-161.8946
"351",61.65379,-159.11787
"352",65.52107,-161.40333
"353",65.51329,-161.40361
"354",65.50523,-161.41083
"355",61.04908,-158.20252
"356",64.38946,-157.09312
"357",64.00265,-150.24792
"358",64.03943,-157.9131
"359",64.06944,-157.8031
"360",65.54938,-161.94335
"361",65.5744,-161.47028
"362",65.5694,-161.43334
"363",65.53384,-161.40167
"364",64.09919,-142.03658
"365",65.48939,-161.44333
"366",65.4894,-161.39333
"367",65.4605,-161.40139
"368",65.4894,-161.34333
"369",65.4694,-161.36333
"370",65.4594,-161.31332
"371",65.41939,-161.35332
"372",65.45301,-161.08138
"373",62.29447,-153.94895
"374",62.31837,-153.89173
"375",62.33948,-153.81173
"376",62.34837,-153.64284
"377",62.26642,-153.66283
"378",62.21448,-153.71783
"379",62.18976,-153.69171
"380",62.18254,-153.70088
"381",62.00947,-153.88281
"382",62.89112,-155.7946
"383",62.69556,-155.71291
"384",62.05938,-158.1929
"385",62.07132,-158.1529
