"","latitude","longitude"
"377",63.36912,-171.54319
"378",63.36916,-169.81318
"379",57.56938,-154.49247
"380",56.07477,-130.2137
"381",56.03977,-130.23148
"382",56.05171,-130.20454
"383",56.00255,-130.04953
"384",56.08255,-130.18565
"385",56.0256,-130.07064
"386",56.03255,-130.08758
"387",56.13362,-133.29269
"388",56.28668,-132.75185
"389",56.53252,-133.05659
"390",56.80974,-133.34161
"391",56.55668,-133.0227
"392",56.51974,-133.01159
"393",31.97846,-109.28036
"394",40.16668,-75.49962
"395",38.65796,-120.53601
"396",38.52713,-119.54431
"397",38.60102,-119.55016
"398",38.41214,-119.23264
"399",37.70938,-118.55123
"400",37.71493,-118.60623
"401",37.62855,-118.52623
"402",37.62772,-118.52234
"403",37.74966,-118.2315
"404",39.01666,-106.60062
"405",39.38072,-120.72547
"406",42.19998,-72.74952
"407",41.16666,-73.83289
"408",46.83333,-88.25004
"409",43.98321,-115.88429
"410",44.91653,-117.50103
"411",40.13326,-113.80084
"412",38.41663,-113.1008
"413",37.74997,-113.75081
"414",37.90107,-114.4739
"415",37.69386,-114.5239
"416",35.95193,-115.46584
"417",35.9361,-115.46778
"418",35.85528,-115.48917
"419",35.81056,-115.5089
"420",38.59991,-119.53432
"421",36.26664,-117.6009
"422",35.56667,-115.80085
"423",35.43333,-115.80085
"424",35.40001,-115.48417
"425",35.06668,-115.4675
"426",35.03335,-115.03415
"427",33.88171,-115.55304
"428",33.33338,-117.08419
"429",32.63429,-107.59004
"430",31.88347,-108.41728
"431",31.85014,-108.48395
"432",35.40945,-114.18136
"433",33.13342,-111.00068
"434",33.11676,-110.90069
"435",34.45003,-115.91751
"436",39.78027,-105.50531
"437",38.68333,-106.48394
"438",39.60332,-105.88143
"439",48.88319,-116.83441
"440",46.98324,-110.71751
"441",32.40263,-106.60113
"442",40.10001,-75.51629
"443",38.38329,-113.08413
"444",38.44996,-113.26748
"445",40.59994,-111.61745
"446",40.51661,-112.1508
"447",48.23318,-118.23444
"448",47.61175,-121.57843
"449",48.84986,-117.4011
"450",48.79986,-117.26776
"451",48.01981,-121.48843
"452",48.76652,-117.63444
"453",35.25001,-115.28416
"454",37.5334,-90.48344
"455",48.44987,-116.03438
"456",48.0832,-115.51769
"457",39.53326,-115.80089
"458",43.53323,-113.91756
"459",48.94984,-119.65118
"460",48.09984,-118.58445
"461",48.93319,-117.56778
"462",48.76652,-117.63444
"463",47.08333,-110.61667
"464",48.36654,-115.93437
"465",46.58323,-111.45086
"466",48.41654,-116.03438
"467",47.54265,-115.60962
"468",46.44988,-114.16762
"469",46.49989,-113.08424
"470",48.24992,-109.50082
"471",47.07556,-110.62028
"472",45.04991,-110.61748
"473",45.58323,-111.78419
"474",47.51288,-120.98312
"475",47.5101,-120.98729
"476",47.51038,-120.98424
"477",47.51176,-120.98424
"478",48.24985,-118.25111
"479",48.33318,-118.25112
"480",48.33318,-118.25112
"481",48.41652,-118.25112
"482",48.24985,-118.25111
"483",48.24985,-118.25111
"484",48.41652,-118.41779
"485",48.24985,-118.16778
"486",47.63481,-121.4737
"487",48.49983,-119.66784
"488",48.58316,-119.75117
"489",48.37611,-118.87778
"490",48.36222,-118.87444
"491",48.58316,-119.75117
"492",48.49985,-118.16779
"493",48.94847,-117.54694
"494",48.95056,-117.55389
"495",46.83899,-121.22785
"496",48.41652,-117.66777
"497",48.41652,-117.7511
"498",48.83318,-117.75111
