"","state","commod1","n"
"601","New Mexico","Arsenic",3
"602","New Mexico","Beryllium",9
"603","New Mexico","Bismuth",10
"604","New Mexico","Cobalt",1
"605","New Mexico","Copper",766
"606","New Mexico","Gold",981
"607","New Mexico","Iron",284
"608","New Mexico","Lead",526
"609","New Mexico","Lithium",9
"610","New Mexico","Magnesite",9
"611","New Mexico","Manganese",203
"612","New Mexico","Mercury",1
"613","New Mexico","Metal",3
"614","New Mexico","Molybdenum",45
"615","New Mexico","Nickel",1
"616","New Mexico","Niobium (Columbium)",10
"617","New Mexico","Oil Sands",1
"618","New Mexico","Platinum",2
"619","New Mexico","REE",19
"620","New Mexico","Selenium",2
"621","New Mexico","Silica",2
"622","New Mexico","Silver",960
"623","New Mexico","Sulfur-Pyrite",1
"624","New Mexico","Tantalum",9
"625","New Mexico","Tellurium",1
"626","New Mexico","Thorium",29
"627","New Mexico","Tin",11
"628","New Mexico","Titanium",10
"629","New Mexico","Tungsten",59
"630","New Mexico","Uranium",780
"631","New Mexico","Vanadium",74
"632","New Mexico","Zinc",344
"633","New Mexico","Zirconium",4
"634","New York","Aluminum",4
"635","New York","Arsenic",1
"636","New York","Beryllium",2
"637","New York","Chromium",1
"638","New York","Contained or Metal",2
"639","New York","Copper",6
"640","New York","Gold",1
"641","New York","Iron",407
"642","New York","Lead",52
"643","New York","Manganese",19
"644","New York","Metal",29
"645","New York","Molybdenum",8
"646","New York","Nickel",1
"647","New York","Pig Iron",4
"648","New York","Platinum",1
"649","New York","REE",2
"650","New York","Silica",5
"651","New York","Silver",5
"652","New York","Sulfur-Pyrite",19
"653","New York","Thorium",2
"654","New York","Titanium",49
"655","New York","Tungsten",1
"656","New York","Uranium",2
"657","New York","Vanadium",8
"658","New York","Zinc",15
"659","New York","Zirconium",6
"660","North Carolina","Aluminum",3
"661","North Carolina","Beryllium",2
"662","North Carolina","Chromium",7
"663","North Carolina","Contained or Metal",1
"664","North Carolina","Copper",130
"665","North Carolina","Gold",524
"666","North Carolina","Hafnium",1
"667","North Carolina","Iron",238
"668","North Carolina","Lead",32
"669","North Carolina","Lithium",7
"670","North Carolina","Magnesite",21
"671","North Carolina","Manganese",30
"672","North Carolina","Metal",8
"673","North Carolina","Molybdenum",12
"674","North Carolina","Niobium (Columbium)",3
"675","North Carolina","Olivine",3
"676","North Carolina","Pig Iron",2
"677","North Carolina","REE",29
"678","North Carolina","Silica",6
"679","North Carolina","Silver",16
"680","North Carolina","Sulfur-Pyrite",2
"681","North Carolina","Tantalum",2
"682","North Carolina","Thorium",26
"683","North Carolina","Tin",36
"684","North Carolina","Titanium",11
"685","North Carolina","Tungsten",2
"686","North Carolina","Uranium",2
"687","North Carolina","Zinc",12
"688","North Carolina","Zirconium",3
"689","North Dakota","Manganese",1
"690","North Dakota","Uranium",23
"691","Ohio","Aluminum",3
"692","Ohio","Antimony",1
"693","Ohio","Beryllium",2
"694","Ohio","Chromium",4
"695","Ohio","Contained or Metal",1
"696","Ohio","Copper",1
"697","Ohio","Iron",36
"698","Ohio","Lead",1
"699","Ohio","Magnesite",1
"700","Ohio","Manganese",2
"701","Ohio","Metal",2
"702","Ohio","Molybdenum",1
"703","Ohio","Nickel",1
"704","Ohio","Pigment",1
"705","Ohio","REE",2
"706","Ohio","Silica",5
"707","Ohio","Thorium",1
"708","Ohio","Tin",1
"709","Ohio","Titanium",4
"710","Ohio","Tungsten",3
"711","Ohio","Vanadium",1
"712","Ohio","Zinc",2
"713","Ohio","Zirconium",8
"714","Oklahoma","Copper",173
"715","Oklahoma","Lead",13
"716","Oklahoma","Manganese",1
"717","Oklahoma","Metal",1
"718","Oklahoma","Nickel",1
"719","Oklahoma","Palladium",1
"720","Oklahoma","Platinum",2
"721","Oklahoma","Silica",8
"722","Oklahoma","Titanium",2
"723","Oklahoma","Uranium",4
"724","Oklahoma","Zinc",9
"725","Oklahoma","Zirconium",1
"726","Oregon","Aluminum",44
"727","Oregon","Antimony",70
"728","Oregon","Arsenic",42
"729","Oregon","Beryllium",13
"730","Oregon","Bismuth",2
"731","Oregon","Chromium",1195
