"","state","Metal","Number Of Deposits","id"
"658","New York","Manganese",19,36
"659","New York","REE",2,36
"660","New York","Iron",407,36
"661","North Carolina","Beryllium",2,37
"662","North Carolina","Chromium",7,37
"663","North Carolina","Iron",238,37
"664","North Carolina","Aluminum",3,37
"665","North Carolina","Gold",524,37
"666","North Carolina","Hafnium",1,37
"667","North Carolina","Manganese",30,37
"668","North Carolina","Metal",8,37
"669","North Carolina","Molybdenum",12,37
"670","North Carolina","Niobium (Columbium)",3,37
"671","North Carolina","Olivine",3,37
"672","North Carolina","Contained or Metal",1,37
"673","North Carolina","Copper",130,37
"674","North Carolina","Pig Iron",2,37
"675","North Carolina","REE",29,37
"676","North Carolina","Silica",6,37
"677","North Carolina","Silver",16,37
"678","North Carolina","Sulfur-Pyrite",2,37
"679","North Carolina","Lead",32,37
"680","North Carolina","Lithium",7,37
"681","North Carolina","Magnesite",21,37
"682","North Carolina","Titanium",11,37
"683","North Carolina","Tungsten",2,37
"684","North Carolina","Uranium",2,37
"685","North Carolina","Zinc",12,37
"686","North Carolina","Zirconium",3,37
"687","North Carolina","Tantalum",2,37
"688","North Carolina","Thorium",26,37
"689","North Carolina","Tin",36,37
"690","North Dakota","Uranium",23,38
"691","North Dakota","Manganese",1,38
"692","Ohio","Contained or Metal",1,39
"693","Ohio","Beryllium",2,39
"694","Ohio","Chromium",4,39
"695","Ohio","Magnesite",1,39
"696","Ohio","Antimony",1,39
"697","Ohio","Metal",2,39
"698","Ohio","Molybdenum",1,39
"699","Ohio","Nickel",1,39
"700","Ohio","Manganese",2,39
"701","Ohio","REE",2,39
"702","Ohio","Silica",5,39
"703","Ohio","Thorium",1,39
"704","Ohio","Tin",1,39
"705","Ohio","Copper",1,39
"706","Ohio","Iron",36,39
"707","Ohio","Lead",1,39
"708","Ohio","Zinc",2,39
"709","Ohio","Zirconium",8,39
"710","Ohio","Aluminum",3,39
"711","Ohio","Titanium",4,39
"712","Ohio","Tungsten",3,39
"713","Ohio","Pigment",1,39
"714","Ohio","Vanadium",1,39
"715","Oklahoma","Copper",173,40
"716","Oklahoma","Lead",13,40
"717","Oklahoma","Manganese",1,40
"718","Oklahoma","Silica",8,40
"719","Oklahoma","Nickel",1,40
"720","Oklahoma","Palladium",1,40
"721","Oklahoma","Platinum",2,40
"722","Oklahoma","Zirconium",1,40
"723","Oklahoma","Metal",1,40
"724","Oklahoma","Titanium",2,40
"725","Oklahoma","Uranium",4,40
"726","Oklahoma","Zinc",9,40
"727","Oregon","Magnesite",4,41
"728","Oregon","Manganese",183,41
"729","Oregon","Mercury",632,41
"730","Oregon","Metal",24,41
"731","Oregon","Gold",4510,41
"732","Oregon","Cobalt",32,41
"733","Oregon","Contained or Metal",1,41
"734","Oregon","Copper",726,41
"735","Oregon","Lithium",2,41
"736","Oregon","Silica",29,41
"737","Oregon","Silver",696,41
"738","Oregon","Sulfur-Pyrite",2,41
"739","Oregon","Tellurium",4,41
"740","Oregon","Molybdenum",87,41
"741","Oregon","Nickel",131,41
"742","Oregon","Olivine",1,41
"743","Oregon","Osmium",1,41
"744","Oregon","Palladium",12,41
"745","Oregon","Iridium",3,41
"746","Oregon","Iron",107,41
"747","Oregon","Lead",153,41
"748","Oregon","Ruthenium",3,41
"749","Oregon","Aluminum",44,41
"750","Oregon","Antimony",70,41
"751","Oregon","Arsenic",42,41
"752","Oregon","Beryllium",13,41
"753","Oregon","Bismuth",2,41
"754","Oregon","Chromium",1195,41
"755","Oregon","Tin",3,41
"756","Oregon","Titanium",30,41
"757","Oregon","Tungsten",65,41
"758","Oregon","Uranium",148,41
"759","Oregon","PGE",3,41
"760","Oregon","Platinum",38,41
"761","Oregon","Rhodium",5,41
"762","Oregon","Zirconium",1,41
"763","Oregon","Thallium",2,41
"764","Oregon","Vanadium",2,41
"765","Oregon","Zinc",157,41
"766","Pennsylvania","Niobium (Columbium)",4,42
"767","Pennsylvania","Osmium",1,42
"768","Pennsylvania","Palladium",3,42
"769","Pennsylvania","Platinum",4,42
"770","Pennsylvania","REE",3,42
"771","Pennsylvania","Manganese",12,42
"772","Pennsylvania","Iron",848,42
"773","Pennsylvania","Lead",38,42
"774","Pennsylvania","Magnesite",2,42
"775","Pennsylvania","Tungsten",2,42
"776","Pennsylvania","Uranium",4,42
"777","Pennsylvania","Vanadium",2,42
"778","Pennsylvania","Zinc",32,42
"779","Pennsylvania","Zirconium",5,42
"780","Pennsylvania","Rhodium",1,42
"781","Pennsylvania","Ruthenium",1,42
"782","Pennsylvania","Silica",2,42
"783","Pennsylvania","Silver",4,42
"784","Pennsylvania","Sulfur-Pyrite",1,42
"785","Pennsylvania","Metal",2,42
"786","Pennsylvania","Molybdenum",6,42
"787","Pennsylvania","Nickel",3,42
"788","Pennsylvania","Aluminum",4,42
"789","Pennsylvania","Beryllium",2,42
"790","Pennsylvania","Chromium",17,42
"791","Pennsylvania","Cobalt",3,42
"792","Pennsylvania","Copper",33,42
"793","Pennsylvania","Gold",3,42
