"","time","latitude","longitude","depth","mag","magType","gap","dmin","rms","id","updated","place","type","horizontalError","depthError","magError","locationSource","magSource"
"71","2021-12-09T22:09:40.212Z",-23.6291,-175.2664,10,5.1,"mb",122,6.093,0.98,"us6000gc8c","2022-02-12T23:07:48.040Z","256 km S of ���Ohonua,","earthquake",11.7,1.8,0.102,"us","us"
"72","2021-12-09T21:08:55.280Z",44.1432,-129.5955,10,5.2,"mww",84,3.029,0.89,"us6000gaza","2022-02-12T23:07:22.040Z","off the coast of Oregon","earthquake",7.9,1.8,0.038,"us","us"
"73","2021-12-09T13:52:33.009Z",-5.0632,152.2445,34,5.7,"mww",30,0.87,1.1,"us6000gau7","2022-02-12T23:07:13.040Z","79 km S of Kokopo, Papua New Guinea","earthquake",4.4,1.7,0.038,"us","us"
"74","2021-12-09T02:05:07.684Z",29.4132,129.3846,7,6,"mww",19,2.283,0.66,"us6000gaq5","2022-02-12T23:07:06.040Z","116 km N of Naze, Japan","earthquake",5.8,1.7,0.055,"us","us"
"75","2021-12-08T23:25:16.247Z",-2.9477,-102.4718,10,5.3,"mww",101,20.742,0.68,"us6000gap2","2022-02-12T23:07:03.040Z","central East Pacific Rise","earthquake",13.7,1.8,0.065,"us","us"
"76","2021-12-08T19:00:53.524Z",-7.8031,123.3878,251.92,5.1,"mww",33,1.407,1.17,"us6000gall","2022-02-12T23:06:59.040Z","158 km NE of Maumere, Indonesia","earthquake",6.8,4,0.063,"us","us"
"77","2021-12-08T15:38:20.346Z",44.3026,-129.4733,10,5.3,"mww",119,1.529,0.63,"us6000gah8","2022-02-12T23:06:46.040Z","off the coast of Oregon","earthquake",4.9,1.7,0.046,"us","us"
"78","2021-12-08T13:30:22.278Z",44.3692,-129.3007,10,5.1,"mww",126,1.483,0.78,"us6000gag7","2022-02-12T23:06:43.040Z","off the coast of Oregon","earthquake",7.3,1.9,0.039,"us","us"
"79","2021-12-08T10:50:25.308Z",44.383,-129.427,10,5.1,"mww",190,1.453,0.6,"us6000gafl","2022-02-12T23:06:42.040Z","off the coast of Oregon","earthquake",7.6,1.9,0.039,"us","us"
"80","2021-12-08T10:14:30.823Z",44.3152,-129.4198,10,5.1,"mww",200,1.521,0.57,"us6000gafa","2022-02-12T23:06:41.040Z","off the coast of Oregon","earthquake",8.4,1.9,0.039,"us","us"
"81","2021-12-08T07:22:18.697Z",37.7511,141.6418,54.16,5.1,"mb",50,2.996,0.66,"us6000gae5","2022-02-12T23:06:39.040Z","63 km ENE of Namie, Japan","earthquake",7.4,4.9,0.03,"us","us"
"82","2021-12-08T07:18:28.346Z",44.2903,-129.4278,10,5.5,"mww",119,1.545,1.14,"us6000gae3","2022-02-12T23:06:39.040Z","off the coast of Oregon","earthquake",7.9,1.8,0.04,"us","us"
"83","2021-12-08T05:51:07.035Z",44.1907,-129.2843,10,5.1,"mww",185,1.66,0.74,"us6000gad4","2022-02-12T23:06:37.040Z","off the coast of Oregon","earthquake",8.6,1.9,0.051,"us","us"
"84","2021-12-08T05:43:44.549Z",44.3619,-129.5852,10,5.5,"mww",125,1.462,0.72,"us6000gadh","2022-02-12T23:06:37.040Z","off the coast of Oregon","earthquake",9.1,1.9,0.029,"us","us"
"85","2021-12-08T05:43:29.621Z",44.5037,-129.6941,10,5.2,"mb",113,1.316,1.11,"us6000gacx","2022-02-12T23:06:36.040Z","off the coast of Oregon","earthquake",9.2,1.9,0.045,"us","us"
"86","2021-12-08T05:33:46.080Z",44.4811,-129.669,10,5.3,"mww",125,1.339,1.24,"us6000gacv","2022-07-13T05:43:58.874Z","off the coast of Oregon","earthquake",5.7,1.7,0.03,"us","us"
"87","2021-12-08T05:15:24.904Z",44.363,-129.3697,10,5.4,"mww",119,1.48,0.68,"us6000gacn","2022-02-12T23:06:36.040Z","off the coast of Oregon","earthquake",7.6,1.8,0.025,"us","us"
"88","2021-12-08T01:21:05.808Z",44.2612,-129.3797,10,5.8,"mww",77,1.579,0.69,"us6000gaag","2022-02-12T23:06:30.040Z","off the coast of Oregon","earthquake",8.2,1.8,0.024,"us","us"
"89","2021-12-08T00:36:38.873Z",44.4262,-129.5255,10,5.8,"mww",119,1.402,1.09,"us6000ga9w","2022-02-12T23:06:30.040Z","off the coast of Oregon","earthquake",7.6,1.8,0.028,"us","us"
